timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
2022764000,0.0,0.6236835,0.006973927,0.0038294222,0.78163654,0.0,0.0,-0.7133357
2022812000,0.0,0.62357014,0.005802067,0.0038113482,0.78173655,0.0,0.0,-0.71816975
2022868000,0.0,0.62354106,0.0049126376,0.003960036,0.78176516,0.0,0.0,-0.7140568
2022916000,0.0,0.62354225,0.004760589,0.003429065,0.7817677,0.0,0.0,-0.7131895
2022964000,0.0,0.62350327,0.004872531,0.002479954,0.7818017,0.0,0.0,-0.71249205
2023012000,0.0,0.62357074,0.0052596154,0.0032653066,0.7817424,0.0,0.0,-0.7177665
2023068000,0.0,0.6234395,0.00453112,0.0026693644,0.7818539,0.0,0.0,-0.71318316
2023116000,0.0,0.62345386,0.0040783607,0.0027830352,0.7818446,0.0,0.0,-0.71276015
2023172000,0.0,0.6233876,0.0038558869,0.0028738026,0.7818983,0.0,0.0,-0.7169802
2023220000,0.0,0.62334454,0.003428597,0.0018151843,0.7819378,0.0,0.0,-0.7157919
2023268000,0.0,0.6210046,0.002963233,0.0022333662,0.7837982,0.0,0.0,-0.7121673
2023316000,0.0,0.6208912,0.0021521328,0.00082044967,0.78389335,0.0,0.0,-0.7105495
2023372000,0.0,0.6207039,0.0021799095,0.00092240487,0.7840415,0.0,0.0,-0.71427894
2023420000,0.0,0.6205454,0.0017466669,0.0013878559,0.78416747,0.0,0.0,-0.71349865
2023468000,0.0,0.6203673,0.0013579668,0.00083013455,0.7843098,0.0,0.0,-0.7100093
2023516000,0.0,0.62040645,0.001084441,0.0002751097,0.78427964,0.0,0.0,-0.70873487
2023564000,0.0,0.62048453,0.00040216223,0.0003263226,0.78421855,0.0,0.0,-0.707957
2023620000,0.0,0.6206691,0.00025901824,0.0010883968,0.7840719,0.0,0.0,-0.7115394
2023668000,0.0,0.6209197,-0.0003426564,0.000881281,0.7838736,0.0,0.0,-0.7086484
2023716000,0.0,0.6210318,-0.0009238941,0.00020122004,0.7837848,0.0,0.0,-0.70840687
2023772000,0.0,0.6212216,-0.001227622,0.00074115116,0.78363377,0.0,0.0,-0.7113635
2023812000,0.0,0.6212699,-0.0017081457,0.0006707463,0.7835945,0.0,0.0,-0.7107977
2023868000,0.0,0.62115544,-0.0014503858,-0.000111113855,0.7836861,0.0,0.0,-0.70746124
2023916000,0.0,0.6210517,-0.0012754767,0.000110848334,0.7837686,0.0,0.0,-0.70668143
2023964000,0.0,0.62099296,-0.0015233945,-0.0004609414,0.78381467,0.0,0.0,-0.705874
2024020000,0.0,0.6210645,-0.0023560752,-0.0002855659,0.7837559,0.0,0.0,-0.7086364
2024068000,0.0,0.6210665,-0.0020990963,6.735686e-05,0.7837552,0.0,0.0,-0.705611
2024116000,0.0,0.62108916,-0.0014544774,-2.144724e-05,0.78373855,0.0,0.0,-0.70699346
2024172000,0.0,0.6209784,-0.002354132,3.5983707e-05,0.7838242,0.0,0.0,-0.695087
2024220000,0.0,0.62096876,-0.0021105648,-0.00040604884,0.7838324,0.0,0.0,-0.68595624
2024268000,0.0,0.6210543,-0.0021253685,-0.00011296548,0.78376466,0.0,0.0,-0.6735857
2024316000,0.002422724,0.6209806,-0.002667868,0.0003527696,0.7838214,0.0,0.0,-0.66557837
2024364000,0.0,0.620978,-0.003237488,-0.00035818684,0.78382117,0.0,0.0,-0.6587085
