timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
2039392000,32767,32767,32767,32767,32767,0,32767
2039396000,32767,32767,32767,32767,32767,32767,32767
2039400000,32767,32767,32767,32767,32767,32767,32767
2039404000,32767,32767,32767,32767,32767,32767,32767
2039408000,32767,32767,32767,32767,32767,32767,32767
2039412000,32767,32767,32767,32767,32767,32767,32767
2039416000,32767,32767,32767,32767,0,32767,32767
2039420000,32767,32767,32767,32767,32767,32767,32767
2039424000,32767,32767,32767,32767,32767,32767,32767
2039428000,32767,32767,32767,32767,32767,32767,32767
2039432000,32767,32767,32767,32767,32767,32767,32767
2039436000,32767,32767,32767,32767,32767,32767,32767
2039440000,32767,32767,32767,32767,32767,32767,32767
2039444000,32767,32767,32767,32767,32767,32767,32767
2039448000,32767,32767,32767,32767,32767,32767,32767
2039452000,32767,32767,32767,32767,32767,32767,32767
2039456000,32767,32767,32767,32767,32767,-40,32767
2039460000,32767,32767,32767,32767,32767,32767,32767
2039464000,32767,32767,32767,32767,32767,32767,32767
2039468000,32767,32767,32767,32767,32767,32767,32767
2039472000,32767,32767,32767,32767,32767,32767,32767
2039476000,32767,32767,32767,32767,32767,32767,32767
2039480000,32767,32767,32767,32767,32767,32767,32767
2039484000,32767,32767,32767,32767,32767,32767,32767
2039488000,32767,32767,32767,32767,0,32767,32767
2039492000,32767,32767,32767,32767,32767,32767,32767
2039496000,32767,32767,32767,32767,32767,32767,32767
2039500000,32767,32767,32767,32767,32767,32767,32767
2039504000,32767,32767,32767,32767,32767,32767,32767
2039508000,32767,32767,32767,32767,32767,32767,32767
2039512000,32767,32767,32767,32767,32767,32767,32767
2039516000,32767,32767,32767,32767,32767,32767,32767
2039520000,32767,32767,32767,32767,32767,32767,32767
2039524000,32767,32767,32767,32767,32767,32767,32767
2039528000,32767,32767,32767,32767,32767,32767,32767
2039532000,32767,32767,32767,32767,32767,32767,32767
2039536000,32767,32767,32767,32767,32767,-40,32767
2039540000,32767,32767,32767,32767,32767,32767,32767
2039544000,32767,32767,32767,32767,32767,32767,32767
2039548000,32767,32767,32767,32767,32767,32767,32767
2039552000,32767,32767,32767,32767,32767,32767,32767
2039556000,32767,32767,32767,32767,32767,32767,32767
2039560000,32767,32767,32767,32767,0,32767,32767
2039564000,32767,32767,32767,32767,32767,32767,32767
2039568000,32767,32767,32767,32767,32767,32767,32767
2039572000,32767,32767,32767,32767,32767,32767,32767
2039576000,32767,32767,32767,32767,32767,32767,32767
2039580000,32767,32767,32767,32767,32767,32767,32767
2039584000,32767,32767,32767,32767,32767,32767,32767
2039588000,32767,32767,32767,32767,32767,-40,32767
2039592000,32767,32767,32767,32767,32767,32767,32767
2039596000,32767,32767,32767,32767,32767,32767,32767
2039600000,32767,32767,32767,32767,32767,32767,32767
