timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
20068000,19910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
20468000,20310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
20668000,20510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
21068000,20910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
21460000,21306000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
21868000,21710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
22268000,22110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
22668000,22510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
23068000,22910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
23468000,23310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
23868000,23710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
24268000,24110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
24668000,24510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
25068000,24910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
25468000,25310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
25868000,25710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
26068000,25910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
26468000,26310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
26868000,26710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
27268000,27114000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
27668000,27510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
28068000,27910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
28468000,28310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
28868000,28710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
29268000,29114000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
29668000,29510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
30068000,29910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
30468000,30310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
30868000,30710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
31268000,31110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
31668000,31510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
32068000,31910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
32468000,32310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
32868000,32710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
33268000,33110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
33668000,33510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
34068000,33910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
34468000,34310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
34868000,34710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
35268000,35110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
35668000,35510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
36068000,35910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
36460000,36306000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
36868000,36710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
37268000,37110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
37668000,37510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
38068000,37910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
38468000,38310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
38868000,38710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
39268000,39110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
39668000,39514000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
40068000,39910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
40468000,40310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
40868000,40710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
41268000,41110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
41660000,41506000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
41868000,41710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
42268000,42110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
42668000,42510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
43068000,42910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
43468000,43310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
43868000,43710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
44268000,44110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
44668000,44514000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
45068000,44910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
45468000,45310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
45868000,45710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
46268000,46110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
46668000,46510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
47068000,46910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
47468000,47310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
47868000,47710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
48268000,48110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
48668000,48510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
49068000,48910000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
49468000,49310000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
49868000,49710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
50268000,50110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
50668000,50510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
50876000,50718000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
51268000,51110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
51668000,51510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
51868000,51714000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
52268000,52114000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
52668000,52510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
53068000,52914000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
53468000,53314000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
53868000,53714000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
54268000,54114000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
54668000,54514000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
55068000,54914000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
55468000,55314000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
55868000,55714000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
56268000,56114000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
56668000,56514000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
57068000,56914000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
57468000,57314000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
57868000,57714000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
58268000,58114000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
58668000,58514000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
59068000,58914000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
59468000,59314000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
59868000,59714000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
60268000,60110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
60468000,60314000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
60868000,60710000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
61276000,61118000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
61668000,61514000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
62068000,61914000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
62468000,62314000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
62868000,62714000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
63268000,63114000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
63668000,63510000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
64068000,63914000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
64468000,64314000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
64868000,64714000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
65268000,65110000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
65668000,65514000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
66068000,65914000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
66468000,66314000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
66868000,66714000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
67268000,67114000,0.0007526839,0.00032299804,1.6000005e-05,1,0,0,0,0,0,0,0,0,0,0,0
