timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
31088000,-0.0058797575,-0.012883123,-0.0053059207
31288000,-0.005322506,-0.01466432,-0.0037500996
31488000,-0.004305686,-0.014483549,-0.0026826293
31684000,-0.0034663584,-0.014339737,-0.0018417675
31888000,-0.0024151823,-0.014148613,-0.0008427698
32088000,-0.0019919353,-0.014260006,0.00024266128
32284000,-0.0017111668,-0.014278663,-1.8580948e-05
32488000,-0.0005778337,-0.014174598,-0.001088475
32688000,0.00020738391,-0.014254845,-0.0009943151
32888000,0.00053667504,-0.0146487765,-0.00044702197
33088000,0.00036404445,-0.014608206,-0.0004419363
33288000,0.0006489968,-0.014361159,-0.00069364905
33488000,0.00096567237,-0.014366593,-0.00056928117
33688000,0.0007160707,-0.014469337,-0.0003915411
33888000,0.00054638874,-0.014512711,-0.00023754797
34088000,0.00046622113,-0.014665131,-0.00035303886
34288000,0.0006053963,-0.014997785,-0.00033292334
34488000,0.00027002516,-0.015135032,-0.00024153515
34688000,5.7400444e-05,-0.015210703,-0.00020581917
34888000,8.770507e-06,-0.015007095,-0.00020610857
35088000,-8.276543e-05,-0.014966959,-0.0001711156
35288000,-2.7574391e-05,-0.015115837,-0.00015825572
35484000,-0.00012137188,-0.0151109975,-0.000115111325
35688000,-0.0001494291,-0.015128201,-0.0001645278
35888000,-8.4823245e-05,-0.015127946,-9.577988e-05
36088000,-0.0001883419,-0.015027414,-0.00013125819
36288000,-0.00023328688,-0.015261074,-0.00020648747
36488000,-0.00013882387,-0.015439125,-0.00012900942
36688000,-0.00017912292,-0.01549675,-4.6813628e-05
36888000,-0.00043743546,-0.0153871495,-1.40594475e-05
37084000,-0.0004164789,-0.01531639,-0.0001271222
37288000,-0.00016455883,-0.015451445,-5.5895005e-05
37488000,-3.3541022e-05,-0.0155327795,-6.3016676e-05
37688000,3.2478885e-05,-0.015529225,-3.312693e-05
37888000,-6.319748e-05,-0.015591489,-5.156116e-05
38088000,-5.289986e-05,-0.015710253,-8.5703075e-05
38288000,0.00013118878,-0.015702749,-0.00011062138
38488000,5.0960043e-05,-0.015835296,-3.7498605e-05
38688000,2.4414967e-05,-0.015854375,-4.9789804e-05
38888000,0.000109061446,-0.01590293,-8.724513e-05
39088000,5.3238215e-05,-0.016008118,-3.0114072e-05
39284000,0.0001626672,-0.0158948,6.0951606e-06
39488000,2.914533e-05,-0.016006894,4.226179e-05
39688000,8.598219e-05,-0.015876146,5.6017407e-06
39888000,0.0034980203,-0.013478757,0.00064911967
40088000,0.0059255254,-0.01134137,0.0024066926
40288000,0.0027752195,-0.01083822,0.0033724385
40484000,-2.0076515e-05,-0.0109189525,0.0032397183
40688000,-0.0011274087,-0.015142262,0.0040506218
40888000,-0.001790888,-0.016724432,0.006049317
41088000,-0.0014738594,-0.015185416,0.007808924
41288000,-0.0014746876,-0.0136154145,0.0089531625
41488000,-0.0013782271,-0.0118893385,0.009885235
41688000,-0.0010817349,-0.011265194,0.011102149
41888000,-0.00013340166,-0.010713266,0.012412342
42088000,0.0011025572,-0.0107410215,0.013678707
42288000,0.0011177488,-0.009731106,0.01219192
42488000,0.0020078484,-0.008256699,0.009209081
42688000,0.0019506483,-0.008665234,0.0077069746
42888000,0.0020784629,-0.012357907,0.007515857
43088000,0.0017449177,-0.013975364,0.007068839
43288000,0.0016728599,-0.013247887,0.005753206
43484000,0.005133726,-0.013837142,0.0046214885
43688000,0.00611541,-0.0136052,0.0037720685
43888000,0.0055212863,-0.013816295,0.002831237
44088000,0.0042417864,-0.013926576,0.0017802921
44284000,0.0038193841,-0.014057466,0.0006231003
44488000,0.002949485,-0.013807844,-0.0004088158
44688000,0.00284853,-0.014110785,-0.0010230581
44888000,0.0021386186,-0.014020698,0.00058517535
45088000,0.00047176142,-0.014127571,0.0019708544
45288000,-0.00041289354,-0.014271554,0.0012690158
45488000,-6.2649066e-05,-0.010839361,0.0005783109
45688000,0.00091361,-0.009084123,0.00074606645
45888000,-0.0010419368,-0.01316647,0.001201324
46084000,-0.0018731054,-0.015490935,0.0012209297
46288000,-0.0016820075,-0.015149796,0.00096547994
46488000,-0.0011845035,-0.013473419,0.0009774033
46684000,-0.0013927969,-0.012664931,0.0010403936
46888000,-0.0013029289,-0.011653707,0.0011949147
47088000,-0.0013311784,-0.011068049,0.0011573774
47288000,-0.0010860334,-0.009940345,0.0012181294
47484000,-0.0007214003,-0.009706529,0.0013492433
47684000,-0.00093850744,-0.008420425,0.0015938542
47888000,-0.0015340004,-0.007141011,0.0017201167
48088000,-0.0014141058,-0.006414521,0.0017705235
48288000,-0.0013568851,-0.005514564,0.0016889888
48488000,-0.0010169061,-0.004650509,0.001284955
48688000,0.0012144244,-0.0037248344,0.00023624978
48888000,0.004515894,-0.0014848845,0.0014926279
49084000,0.0013063652,0.0012482961,0.0032420233
49288000,-0.003593875,-0.0029213428,0.0043721027
49488000,-0.006423957,-0.005429957,0.005920434
49684000,-0.002670151,-0.0040984005,0.0073317196
49888000,0.0006104385,-0.0030120423,0.008581472
50088000,0.0011585436,-0.0027900508,0.0098419525
50288000,0.0008450202,-0.0025682575,0.010999554
50484000,0.0006091496,-0.002161899,0.011870681
50688000,0.0005031971,-0.00053003116,0.011614409
50888000,0.0010354023,-0.0015682129,0.009490477
51088000,0.0030101074,-0.0009301704,0.007337954
51288000,0.004790251,-0.001861611,0.0065373965
51488000,0.0021560462,-0.003267628,0.006140303
51688000,0.0017008409,-0.004706985,0.005245519
51888000,0.0032220075,-0.010263559,0.004392192
52088000,0.0042185513,-0.014762158,0.0033159514
52284000,0.0038388385,-0.015339096,0.0023309905
52488000,0.0027230438,-0.014605255,0.0012215392
52688000,0.0022141247,-0.014343035,8.234108e-05
52884000,0.0019054543,-0.014127386,0.00023059311
53088000,0.00095463655,-0.013776578,0.0011410491
53288000,-6.725901e-05,-0.013678927,0.0012383865
53484000,-0.00028892918,-0.013651017,0.0007831523
53688000,-0.00012113471,-0.013737058,0.0005829836
53888000,-0.00023876784,-0.013801261,0.00072985
54088000,-0.00040260536,-0.014030959,0.0006963834
54288000,-0.00042656536,-0.014524845,0.00059834064
54484000,-0.000570378,-0.014599375,0.00048671936
54688000,-0.00039371452,-0.014262167,0.0002728877
54888000,-0.00027517043,-0.01185217,0.00027439487
55088000,0.00087650376,-0.00905738,0.00027068105
55288000,5.8339043e-05,-0.011995663,0.0002811057
55488000,-0.0004291193,-0.014691282,0.00011874914
55688000,0.00030039766,-0.01490987,0.00012107156
55888000,0.0004454701,-0.013933482,4.9059432e-05
56088000,0.00040434842,-0.0126396185,6.621487e-05
56288000,0.0004147467,-0.011710432,0.00010409955
56488000,0.0007615535,-0.011334448,0.00022661948
56688000,0.00061250594,-0.010325821,0.00033229875
56888000,0.00018902551,-0.00908339,0.00021589603
57088000,0.00011207944,-0.008151501,0.00020143384
57288000,0.000120466015,-0.0073286644,0.00017447985
57488000,-0.0001500909,-0.0065015582,0.000286184
57688000,3.5494577e-05,-0.0058303797,0.00031001485
57888000,-7.644653e-05,-0.004927924,0.00046146486
58088000,-0.0001720574,-0.004284736,0.00013093372
58288000,5.331904e-05,-0.003540725,-0.000113356065
58488000,8.759246e-05,-0.003193638,2.6438252e-05
58684000,0.00011691424,-0.0025174345,9.097486e-05
58888000,-0.00012280018,-0.0020771967,3.5285575e-05
59088000,-0.0003350994,-0.001092717,-6.7883346e-05
59288000,-8.687119e-05,-0.00081791834,-4.1958898e-05
59484000,-0.00044633116,4.882513e-06,0.00011658012
59688000,-0.00038040202,0.0012296658,4.828064e-05
59888000,0.00019147852,-0.0006211898,8.024143e-05
60088000,-1.6167325e-05,-0.0018642246,6.663076e-05
60288000,-0.0005029062,0.0013250881,3.921788e-05
60488000,-0.00027474397,0.0018222996,-1.9016177e-05
60684000,-0.00023159086,0.0016476901,-3.9102146e-05
60888000,-0.00033595107,0.0019653495,3.0129682e-05
61088000,-0.00024640435,0.0018512371,6.828496e-05
61288000,-0.0003168637,0.0020309242,7.711849e-05
61488000,-0.00038769122,0.0020370977,-8.632446e-05
61688000,-0.0002695589,0.002021358,-0.000100598554
61888000,-0.00012989751,0.0018136264,5.2001496e-07
62088000,-0.00036659595,0.001978757,7.983657e-05
62288000,-0.0002729263,0.0019422354,1.3741692e-05
62484000,-0.00028047452,0.0021162222,-6.10518e-06
62688000,-6.0235725e-05,0.0019554917,-2.6475434e-05
62888000,2.4661074e-05,0.0021655064,-1.3446145e-05
63088000,-5.3722535e-05,0.0018869593,-7.858641e-05
63288000,0.0013610694,0.000773454,-1.4144676e-05
63488000,0.0031605398,-0.001153172,-7.4450736e-07
63688000,0.0051486446,-0.0032123516,-6.342659e-05
63888000,0.006104157,-0.0045096916,-6.571197e-05
64088000,0.0060510538,-0.0046645394,-7.4915406e-05
64288000,0.0060865106,-0.004736864,-9.499526e-05
64488000,0.0060865106,-0.004736864,-9.499526e-05
64684000,0.0060865106,-0.004736864,-9.499526e-05
64888000,0.0060865106,-0.004736864,-9.499526e-05
65088000,0.0060865106,-0.004736864,-9.499526e-05
65288000,0.0060865106,-0.004736864,-9.499526e-05
65488000,0.0060865106,-0.004736864,-9.499526e-05
65688000,0.0060865106,-0.004736864,-9.499526e-05
65888000,0.0060865106,-0.004736864,-9.499526e-05
66088000,0.0060865106,-0.004736864,-9.499526e-05
66288000,0.0060865106,-0.004736864,-9.499526e-05
66488000,0.0,0.0,0.0
66688000,0.0,0.0,0.0
66888000,0.0,0.0,0.0
67088000,0.0,0.0,0.0
67288000,0.0,0.0,0.0
