timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
13852000,13840000,197388,0.007221717,-0.21743362,0.4324448,0
13956000,13909777,197388,0.011583584,-0.21734478,0.4315121,0
13984000,13978000,197388,0.0029220858,-0.21329796,0.43340603,0
14104000,14050000,197388,0.009278034,-0.21721481,0.42970106,0
14128000,14122000,197388,0.0068425126,-0.2158354,0.43003637,0
14244000,14193200,197388,0.008931736,-0.21640669,0.4292709,0
14260000,14260000,197388,0.00795286,-0.2262796,0.43000868,0
14388000,14330181,197388,0.009607962,-0.21602926,0.42858818,0
14404000,14404000,197388,0.011040907,-0.20942833,0.43412003,0
14532000,14475272,197388,0.011247909,-0.21767585,0.42907587,0
14548000,14548000,197388,0.010851417,-0.21447092,0.43038294,0
14676000,14618909,197388,0.010493187,-0.21585819,0.4306097,0
14688000,14688000,197388,0.010248648,-0.21163255,0.42934003,0
14812000,14758000,197388,0.010578463,-0.21548505,0.42748603,0
14832000,14826000,197388,0.0065012802,-0.21301249,0.42388093,0
14944000,14895555,197388,0.009638906,-0.21570097,0.4305992,0
14980000,14968000,197388,0.009697229,-0.21784958,0.42726016,0
15088000,15038666,197388,0.008764718,-0.21544662,0.42963842,0
15124000,15110666,197388,0.011544185,-0.21214634,0.4293751,0
15232000,15182666,197388,0.009490741,-0.21740156,0.4290631,0
15256000,15250000,197388,0.009335961,-0.21410707,0.42955813,0
15376000,15321600,197388,0.01198985,-0.21611838,0.42991003,0
15400000,15392000,197388,0.007689962,-0.21551579,0.43145436,0
15508000,15458666,197388,0.007810535,-0.216114,0.4308041,0
15544000,15530666,197388,0.008884725,-0.21157925,0.42990646,0
15652000,15602666,197388,0.010070443,-0.21537103,0.42990816,0
15676000,15670000,197388,0.010977711,-0.21325725,0.4315526,0
15796000,15740800,197388,0.0101864645,-0.21556222,0.43110904,0
15808000,15808000,197388,0.010786805,-0.21433184,0.43079627,0
15940000,15878909,197388,0.012425124,-0.21442765,0.43114725,0
15948000,15948000,197388,0.013122356,-0.22021382,0.426565,0
16072000,16017600,197388,0.010017816,-0.21600962,0.42985424,0
16096000,16090000,197388,0.010874447,-0.21471122,0.42635876,0
16216000,16160800,197388,0.010544523,-0.21596761,0.4304304,0
16228000,16228000,197388,0.009646724,-0.21818964,0.4239995,0
16360000,16298545,197388,0.009657646,-0.21550965,0.43037298,0
16372000,16372000,197388,0.0043772245,-0.21684879,0.42830572,0
16500000,16442909,197388,0.011525658,-0.21631727,0.42979765,0
16516000,16516000,197388,0.008450682,-0.2219312,0.43047002,0
16648000,16587636,197388,0.011381271,-0.2163732,0.42951664,0
16660000,16660000,197388,0.009204263,-0.21343902,0.4329084,0
16792000,16732000,197388,0.010454736,-0.21549682,0.4312724,0
16804000,16804000,197388,0.005219786,-0.2137646,0.43456918,0
16932000,16874545,197388,0.010538092,-0.2171468,0.42851597,0
16948000,16948000,197388,0.005852824,-0.21676493,0.43153715,0
17080000,17018909,197388,0.009184067,-0.21727766,0.42709062,0
17092000,17092000,197388,0.0062316656,-0.22018908,0.43021348,0
17224000,17163636,197388,0.009565745,-0.21633276,0.42876595,0
17236000,17236000,197388,0.014544488,-0.21641137,0.4311306,0
17368000,17307272,197388,0.00882369,-0.21576008,0.4304257,0
17380000,17380000,197388,0.015082137,-0.21461579,0.42996663,0
17508000,17451272,197388,0.01009125,-0.21582702,0.42994973,0
17520000,17520000,197388,0.0083549805,-0.2108865,0.42865753,0
17640000,17588800,197388,0.008489815,-0.21511705,0.42824918,0
17664000,17658000,197388,0.011661943,-0.21814923,0.42655313,0
17772000,17726666,197388,0.01002611,-0.2136272,0.43135872,0
17808000,17797333,197388,0.007987447,-0.21831553,0.42662498,0
17908000,17865000,197388,0.0102071855,-0.21596722,0.4315031,0
17956000,17936000,197388,0.006957699,-0.21779007,0.43204135,0
18040000,18002857,197388,0.010016708,-0.21404465,0.42888385,0
18096000,18072800,197388,0.00864851,-0.21883202,0.42987308,0
18172000,18141333,197388,0.010510641,-0.21750109,0.429586,0
18244000,18212666,197388,0.0094486745,-0.21516609,0.4273579,0
18316000,18285333,197388,0.009326182,-0.21552776,0.43004474,0
