timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
4803000,4651000,13421772800,5.4449774e-05,0.002727815,0.0020738668,0,1.3754139,7.1556764,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4811000,4659000,13421772800,7.516873e-05,0.002587238,0.0020111888,0,1.423761,7.159588,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4827000,4675000,13421772800,0.00011128645,0.0023196044,0.0018932266,0,1.522057,7.1676717,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4835000,4683000,13421772800,0.00012682137,0.0021930446,0.0018358874,0,1.5719084,7.171843,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4843000,4691000,13421772800,0.00020589837,0.043425288,0.0127327135,0,0.64820105,5.830252,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4851000,4699000,13421772800,0.00021760703,0.042054825,0.01265591,0,0.6688121,5.8338,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4867000,4715000,13421772800,0.00023726221,0.039435927,0.012509166,0,0.7124904,5.841212,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4875000,4723000,13488881664,0.00024528758,0.03818349,0.012438643,0,0.73541445,5.845076,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4883000,4731000,13488881664,0.00042144072,0.08106764,0.018965874,0,0.5003727,5.7735224,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4891000,4739000,13488881664,0.00042691716,0.07848968,0.019036878,0,0.5003727,5.7735224,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4907000,4755000,13488881664,0.0004353197,0.073555484,0.019167565,0,0.50035655,5.7735224,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4915000,4763000,13488881664,0.00043834338,0.071197994,0.01923051,0,0.5003405,5.7735224,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4923000,4771000,13488881664,0.00044064326,0.0689068,0.019288532,0,0.5003193,5.7735224,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4931000,4779000,13488881664,0.00044227295,0.06668444,0.019342583,0,0.50029325,5.7735224,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4947000,4795000,13488881664,0.00044368271,0.062424086,0.01944524,0,0.50022775,5.7735224,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4955000,4803000,13488881664,0.00044355766,0.060388044,0.019492624,0,0.5001893,5.7735224,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4963000,4811000,13488881664,0.00044294287,0.05841078,0.019537294,0,0.5001478,5.7735224,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4971000,4819000,13488881664,0.0004418815,0.05648889,0.01957902,0,0.5001039,5.7735224,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4987000,4835000,13488881664,0.0004385781,0.052817836,0.019654436,0,0.5000112,5.773521,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
4995000,4843000,13488881664,0.00043641715,0.051062725,0.019689273,0,0.499964,5.7735205,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
5003000,4851000,13488881664,0.00043158955,0.04935904,0.019708809,0,0.49991748,5.77352,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
5011000,4859000,13488881664,0.0004264958,0.047705665,0.019716568,0,0.49987257,5.773519,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
5027000,4875000,13488881664,0.00041564452,0.044534225,0.019697195,0,0.49979198,5.7735176,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
5035000,4883000,13488881664,0.00040994602,0.04302027,0.019671004,0,0.4997587,5.773517,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
5043000,4891000,13488881664,0.00039885586,0.041546714,0.019622691,0,0.49973178,5.7735167,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,1,1,1,1,0,0,0,0,0,0,0,0,0
5051000,4899000,2208217169920,0.0003876261,0.04011142,0.019759778,0,14.142136,5.0000086,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5067000,4915000,2208217169920,0.0064335787,0.03657059,0.019923557,0,14.142589,5.0000076,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5075000,4923000,2208217169920,0.006509515,0.034872703,0.019968495,0,14.143153,5.000007,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5083000,4931000,2208217169920,0.006585504,0.03322724,0.019987045,0,14.143946,5.0000067,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5091000,4939000,2208217169920,0.006398724,0.035074662,0.020233104,0,14.142136,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5107000,4955000,2208217169920,0.0065486524,0.031782687,0.020190919,0,14.142136,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5115000,4963000,2208217169920,0.0066236835,0.030208474,0.020141557,0,14.142136,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5123000,4971000,2208217169920,0.0066987476,0.02868725,0.020072788,0,14.142136,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5131000,4979000,2208217169920,0.0067738304,0.027206168,0.01998808,0,14.142136,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5147000,4995000,2208217169920,0.006924052,0.024380822,0.019768752,0,14.142136,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5155000,5003000,2208217169920,0.0069991713,0.023039836,0.019637674,0,14.142136,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5163000,5011000,2208217169920,0.0070742383,0.021747597,0.019491145,0,14.142136,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5171000,5019000,2208217169920,0.0071492475,0.020490767,0.019334557,0,14.142136,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5187000,5035000,2208217169920,0.007299078,0.018096225,0.01898249,0,14.142136,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5195000,5043000,2208217169920,0.0073738913,0.016970556,0.018792072,0,14.142136,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5203000,5051000,2208217169920,0.0074485233,0.015890723,0.01859074,0,14.142137,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5211000,5059000,2208217169920,0.0075229695,0.014849013,0.018175354,0,14.142138,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5227000,5075000,2208217169920,0.007428245,0.012931512,0.017337361,0,14.142139,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5235000,5083000,2208217169920,0.007257292,0.012058821,0.01691676,0,14.14214,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5243000,5091000,2208217169920,0.007084376,0.011251522,0.016494803,0,14.142142,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5251000,5099000,2208217169920,0.00691606,0.010495951,0.01607002,0,14.142144,5.000002,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5267000,5115000,2208217169920,0.0037232907,0.014696314,0.018939544,0,0.014268872,4.4721375,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5275000,5123000,2208217169920,0.003653745,0.014012263,0.018448625,0,0.01466615,4.4721375,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5283000,5131000,2208217169920,0.0035952476,0.0133613115,0.017966595,0,0.015348261,4.4721375,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5291000,5139000,2208217169920,0.0035486638,0.01274196,0.017485566,0,0.01631407,4.4721375,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,nan,nan,nan,nan,0,1152,2,1,2,1,0,0,0,0,0,0,0,0,0
5307000,5155000,2225397039105,0.02087702,0.05499516,0.018353531,0,0.014143913,4.4721375,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.134743,nan,0.48089916,nan,0,1153,2,1,2,1,0,0,0,0,0,0,0,0,0
5315000,5163000,2225329930241,0.021051828,0.05471677,0.018199047,0,0.014144004,4.4721375,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.134743,nan,0.48089916,nan,0,1153,2,1,2,1,0,0,0,0,0,0,0,0,0
5323000,5171000,2225329930241,0.021230752,0.054473247,0.01805256,0,0.014144223,4.4721375,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.134743,nan,0.48089916,nan,0,1153,2,1,2,1,0,0,0,0,0,0,0,0,0
5331000,5179000,2225329930241,0.02140187,0.054251578,0.017917888,0,0.014144658,4.4721375,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.134743,nan,0.48089916,nan,0,1153,2,1,2,1,0,0,0,0,0,0,0,0,0
5347000,5195000,2225329930241,0.021787254,0.05381283,0.01767466,0,0.0141465785,4.4721375,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.134743,nan,0.48089916,nan,0,1153,2,1,2,1,0,0,0,0,0,0,0,0,0
5355000,5203000,2225329930241,0.021983653,0.05361618,0.017570414,0,0.014148286,4.4721375,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.134743,nan,0.48089916,nan,0,1153,2,1,2,1,0,0,0,0,0,0,0,0,0
5363000,5211000,2225329930241,0.022179537,0.053442113,0.017475361,0,0.014150653,4.4721375,nan,nan,nan,nan,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.134743,nan,0.48089916,nan,0,1153,2,1,2,1,0,0,0,0,0,0,0,0,0
