timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
2028220000,2028220000,0.7104519,0.702526,0.71072066,0.70122546,nan,nan,nan,nan,nan,nan,nan,nan,0
2028320000,2028320000,0.704264,0.7074302,0.7020226,0.7068835,nan,nan,nan,nan,nan,nan,nan,nan,0
2028420000,2028420000,0.7068348,0.7081975,0.70264274,0.708582,nan,nan,nan,nan,nan,nan,nan,nan,0
2028520000,2028520000,0.70836264,0.70368505,0.70343065,0.706963,nan,nan,nan,nan,nan,nan,nan,nan,0
2028620000,2028620000,0.7087096,0.70151895,0.7083521,0.70316523,nan,nan,nan,nan,nan,nan,nan,nan,0
2028720000,2028720000,0.70719594,0.70199156,0.7104079,0.70195496,nan,nan,nan,nan,nan,nan,nan,nan,0
2028820000,2028820000,0.70865136,0.6998717,0.7088891,0.70429814,nan,nan,nan,nan,nan,nan,nan,nan,0
2028920000,2028920000,0.70345986,0.7046358,0.7058074,0.70639586,nan,nan,nan,nan,nan,nan,nan,nan,0
2029016000,2029016000,0.70896375,0.7007661,0.70616287,0.7046909,nan,nan,nan,nan,nan,nan,nan,nan,0
2029120000,2029120000,0.70872253,0.70734656,0.7039015,0.70638174,nan,nan,nan,nan,nan,nan,nan,nan,0
2029220000,2029220000,0.70342124,0.70815486,0.7074275,0.7027597,nan,nan,nan,nan,nan,nan,nan,nan,0
2029320000,2029320000,0.714098,0.69640106,0.711382,0.70072436,nan,nan,nan,nan,nan,nan,nan,nan,0
2029420000,2029420000,0.7157785,0.695987,0.71053547,0.70088804,nan,nan,nan,nan,nan,nan,nan,nan,0
2029520000,2029520000,0.72012454,0.6864619,0.7158558,0.70504975,nan,nan,nan,nan,nan,nan,nan,nan,0
2029620000,2029620000,0.70970964,0.6863077,0.71414655,0.7235179,nan,nan,nan,nan,nan,nan,nan,nan,0
2029720000,2029720000,0.7044543,0.69068944,0.72308695,0.7303511,nan,nan,nan,nan,nan,nan,nan,nan,0
2029820000,2029820000,0.7068616,0.69133556,0.73019797,0.7343926,nan,nan,nan,nan,nan,nan,nan,nan,0
2029916000,2029916000,0.70674825,0.69947606,0.7331835,0.73463875,nan,nan,nan,nan,nan,nan,nan,nan,0
2030020000,2030020000,0.7182587,0.70006704,0.73509234,0.7338314,nan,nan,nan,nan,nan,nan,nan,nan,0
2030120000,2030120000,0.71581495,0.71288955,0.73562294,0.74076647,nan,nan,nan,nan,nan,nan,nan,nan,0
2030220000,2030220000,0.7171751,0.7132149,0.7387115,0.7402365,nan,nan,nan,nan,nan,nan,nan,nan,0
2030320000,2030320000,0.71183854,0.71061444,0.74017346,0.73545843,nan,nan,nan,nan,nan,nan,nan,nan,0
2030420000,2030420000,0.71301836,0.70817524,0.7424329,0.7417013,nan,nan,nan,nan,nan,nan,nan,nan,0
2030520000,2030520000,0.7165557,0.705321,0.74586314,0.7491281,nan,nan,nan,nan,nan,nan,nan,nan,0
2030620000,2030620000,0.71974444,0.7086142,0.74990314,0.74752307,nan,nan,nan,nan,nan,nan,nan,nan,0
2030720000,2030720000,0.7209155,0.7111621,0.75123453,0.749492,nan,nan,nan,nan,nan,nan,nan,nan,0
2030820000,2030820000,0.7253599,0.7063929,0.7478459,0.7555107,nan,nan,nan,nan,nan,nan,nan,nan,0
2030916000,2030916000,0.7263299,0.7100344,0.7475195,0.7609941,nan,nan,nan,nan,nan,nan,nan,nan,0
2031020000,2031020000,0.7237399,0.71366453,0.7462599,0.7629451,nan,nan,nan,nan,nan,nan,nan,nan,0
2031120000,2031120000,0.7245511,0.71098834,0.7477274,0.76506025,nan,nan,nan,nan,nan,nan,nan,nan,0
2031220000,2031220000,0.7282461,0.70952344,0.7502583,0.7657306,nan,nan,nan,nan,nan,nan,nan,nan,0
2031320000,2031320000,0.7214904,0.7072994,0.75239146,0.7548608,nan,nan,nan,nan,nan,nan,nan,nan,0
2031420000,2031420000,0.71742177,0.70600575,0.7394012,0.7530648,nan,nan,nan,nan,nan,nan,nan,nan,0
2031520000,2031520000,0.7212413,0.70077217,0.73779804,0.75027275,nan,nan,nan,nan,nan,nan,nan,nan,0
2031620000,2031620000,0.7155096,0.7073201,0.73834765,0.74511105,nan,nan,nan,nan,nan,nan,nan,nan,0
2031720000,2031720000,0.71604407,0.7009642,0.7322406,0.7519843,nan,nan,nan,nan,nan,nan,nan,nan,0
2031820000,2031820000,0.7055156,0.7054931,0.7249052,0.74786276,nan,nan,nan,nan,nan,nan,nan,nan,0
2031916000,2031916000,0.7089277,0.71530366,0.7113167,0.74161845,nan,nan,nan,nan,nan,nan,nan,nan,0
2032020000,2032020000,0.7263896,0.71184134,0.70328355,0.7251945,nan,nan,nan,nan,nan,nan,nan,nan,0
2032120000,2032120000,0.71319944,0.7308466,0.696881,0.72056276,nan,nan,nan,nan,nan,nan,nan,nan,0
2032220000,2032220000,0.71936923,0.7274016,0.6855954,0.7328963,nan,nan,nan,nan,nan,nan,nan,nan,0
2032320000,2032320000,0.706717,0.7322202,0.6826813,0.7418537,nan,nan,nan,nan,nan,nan,nan,nan,0
2032420000,2032420000,0.7097972,0.7186881,0.69385314,0.73608816,nan,nan,nan,nan,nan,nan,nan,nan,0
2032520000,2032520000,0.7000004,0.7207272,0.69564843,0.7362424,nan,nan,nan,nan,nan,nan,nan,nan,0
2032620000,2032620000,0.7044328,0.7164157,0.7070738,0.72586536,nan,nan,nan,nan,nan,nan,nan,nan,0
2032720000,2032720000,0.7052746,0.7227326,0.7019039,0.7253381,nan,nan,nan,nan,nan,nan,nan,nan,0
2032820000,2032820000,0.7071342,0.72544795,0.6998955,0.72140324,nan,nan,nan,nan,nan,nan,nan,nan,0
2032916000,2032916000,0.7086125,0.7271761,0.698753,0.7203557,nan,nan,nan,nan,nan,nan,nan,nan,0
2033020000,2033020000,0.70791,0.7302049,0.698416,0.7221441,nan,nan,nan,nan,nan,nan,nan,nan,0
2033120000,2033120000,0.70764697,0.7322778,0.69409114,0.7268113,nan,nan,nan,nan,nan,nan,nan,nan,0
2033220000,2033220000,0.712451,0.725281,0.6982619,0.72225744,nan,nan,nan,nan,nan,nan,nan,nan,0
2033320000,2033320000,0.70982486,0.72896165,0.7000214,0.71767414,nan,nan,nan,nan,nan,nan,nan,nan,0
2033420000,2033420000,0.70523477,0.72834873,0.6957492,0.72071844,nan,nan,nan,nan,nan,nan,nan,nan,0
