timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
654824000,654670000,654672000,47.3981339,8.545848,0,1.0,1.0,0.028977217,-0.0007229059,0.015100353,0.0025404184,1.1261381,1.1258599,2.9825085e-05,1.8566894e-08,1.2673781e-05,7.3925287e-07,0,0,1
655232000,655074000,655080000,47.398134,8.545848699999999,0,1.0,1.0,0.028817115,-0.0055181086,0.02123041,-0.0010609587,1.1266558,1.1263999,2.9482868e-05,1.0813042e-06,2.0185806e-05,-7.4358866e-08,0,0,1
655632000,655474000,655480000,47.3981342,8.5458491,0,1.0,1.0,0.027993066,-0.009237888,0.024236036,-0.00469515,1.1266042,1.1263938,2.7822076e-05,3.030506e-06,2.3579703e-05,-1.388202e-06,0,0,1
656032000,655874000,655880000,47.3981346,8.5458491,0,1.0,1.0,0.02338491,-0.0034037894,0.023857757,-0.004121212,1.126549,1.1263893,1.9416964e-05,4.1143085e-07,2.1729596e-05,-9.540814e-07,0,0,1
656432000,656274000,656280000,47.3981351,8.5458489,0,1.0,1.0,0.016683979,0.0023695189,0.020669412,-0.0012364425,1.1264951,1.1263883,9.883936e-06,1.9938487e-07,1.6464859e-05,-4.4142968e-07,0,0,1
656832000,656674000,656680000,47.398135499999995,8.5458488,0,1.0,1.0,0.017124565,0.00079753896,0.019093925,-0.0003324506,1.1264545,1.1263983,1.04132305e-05,2.2587688e-08,1.3775246e-05,-2.3519972e-07,0,0,1
657232000,657074000,657080000,47.3981358,8.5458485,0,1.0,1.0,0.018573804,0.0053866035,0.01886276,0.0022093514,1.1264098,1.1264043,1.2250824e-05,1.030376e-06,1.3097725e-05,3.2727843e-07,0,0,1
657632000,657474000,657480000,47.3981359,8.545848,0,1.0,1.0,0.029924616,0.021523347,0.02377914,0.01079335,1.1263766,1.1264163,3.180047e-05,1.645056e-05,2.1410058e-05,7.4931822e-06,0,0,1
658024000,657870000,657872000,47.3981359,8.545847700000001,0,1.0,1.0,0.032473285,0.025240464,0.027621642,0.017178457,1.1258662,1.1259472,3.7464994e-05,2.2632714e-05,2.8505765e-05,1.4184314e-05,0,0,1
658432000,658274000,658280000,47.3981359,8.545847199999999,0,1.0,1.0,0.023249354,0.030930549,0.025667654,0.023324303,1.1263785,1.1265035,1.919541e-05,3.3970562e-05,2.4344943e-05,2.3026842e-05,0,0,1
658832000,658674000,658680000,47.398135599999996,8.5458467,0,1.0,1.0,0.036142256,0.03551658,0.030323032,0.028743092,1.126348,1.1265072,4.638931e-05,4.4790744e-05,3.414244e-05,3.269969e-05,0,0,1
659224000,659070000,659072000,47.3981354,8.5458463,0,1.0,1.0,0.039432324,0.03545317,0.034349013,0.031708706,1.1258384,1.1260277,5.5244454e-05,4.4649958e-05,4.3468775e-05,3.798128e-05,0,0,1
659632000,659474000,659480000,47.3981351,8.5458457,0,1.0,1.0,0.050444726,0.022409009,0.04154223,0.027552648,1.1262995,1.1265285,9.037278e-05,1.7830484e-05,6.44303e-05,2.8975835e-05,0,0,1
660024000,659870000,659872000,47.3981347,8.5458432,0,1.0,1.0,0.061783724,0.017105633,0.050488245,0.02293544,1.1257459,1.1260142,0.00013563375,1.039428e-05,9.589968e-05,2.0763451e-05,0,0,1
660424000,660270000,660272000,47.3981342,8.5458368,0,1.0,1.0,0.060665213,0.027817823,0.055011343,0.025105389,1.1257131,1.1260067,0.00013077108,2.7489403e-05,0.00011139808,2.3752764e-05,0,0,1
660832000,660674000,660680000,47.3981332,8.5458275,0,1.0,1.0,0.06658275,0.0646659,0.060182635,0.042785086,1.1261873,1.1264757,0.00015746092,0.00014848713,0.00013198369,7.949688e-05,0,0,1
661232000,661074000,661080000,47.3981317,8.5458195,0,1.0,1.0,0.060575336,0.07628638,0.06035717,0.057674553,1.1261321,1.1264149,0.00013033538,0.00020665964,0.0001312511,0.00013601367,0,0,1
661632000,661474000,661480000,47.3981296,8.5458138,0,1.0,1.0,0.061094597,0.09749908,0.060684916,0.07537434,1.126094,1.1263697,0.00013258395,0.00033758263,0.00013184348,0.00022559988,0,0,1
662032000,661874000,661880000,47.398127099999996,8.5458109,0,1.0,1.0,0.059105184,0.081674226,0.059982814,0.07817429,1.1260647,1.1263363,0.00012409315,0.0002368983,0.00012839888,0.0002306214,0,0,1
662432000,662274000,662280000,47.3981244,8.5458102,0,1.0,1.0,0.07024501,0.08465596,0.06454379,0.08105504,1.1260633,1.1263243,0.0001752783,0.000254514,0.00014923418,0.00024124033,0,0,1
662832000,662674000,662680000,47.398122,8.5458113,0,1.0,1.0,0.068037555,0.075670324,0.066096574,0.07866183,1.1260709,1.1263247,0.00016443402,0.0002033516,0.00015598966,0.0002244009,0,0,1
663232000,663074000,663080000,47.3981202,8.5458137,0,1.0,1.0,0.058921475,0.06061297,0.06290764,0.07064012,1.1260874,1.1263452,0.00012332045,0.00013047269,0.00014147001,0.00018265503,0,0,1
663632000,663474000,663480000,47.3981192,8.5458161,0,1.0,1.0,0.07753132,-0.016423358,0.06940706,0.031945236,1.1261837,1.1265084,0.00021350356,9.577441e-06,0.00017348492,9.721837e-05,0,0,1
664032000,663874000,663880000,47.3981192,8.545816,0,1.0,1.0,0.06993217,-0.0069915624,0.06964044,0.014639992,1.1262175,1.1265744,0.00017369677,1.7355958e-06,0.00017357907,5.323883e-05,0,0,1
664432000,664274000,664280000,47.3981192,8.5458161,0,1.0,1.0,0.060145523,-0.009634772,0.06542048,0.003851207,1.1262354,1.1266185,0.00012848056,3.2958392e-06,0.0001535353,2.8112308e-05,0,0,1
664832000,664674000,664680000,47.398119099999995,8.5458161,0,1.0,1.0,0.06321759,-0.010451827,0.06444141,-0.0025056978,1.1262494,1.1266491,0.00014193884,3.878428e-06,0.00014838131,1.3894201e-05,0,0,1
665232000,665074000,665080000,47.3981192,8.545816,0,1.0,1.0,0.0424305,0.005131529,0.054658785,0.0008886256,1.1262408,1.1266558,6.394183e-05,9.348939e-07,0.00011085265,8.134509e-06,0,0,1
665632000,665474000,665480000,47.3981192,8.5458161,0,1.0,1.0,0.038519263,-0.0051120133,0.047485664,-0.0017783253,1.1262205,1.1266453,5.2697804e-05,9.2780505e-07,8.5006046e-05,4.106814e-06,0,0,1
666024000,665870000,665872000,47.3981192,8.5458161,0,1.0,1.0,0.03213133,-0.0002942457,0.040699597,-0.0011224151,1.1257304,1.1261501,3.668453e-05,3.0752747e-09,6.364966e-05,2.2903896e-06,0,0,1
666424000,666270000,666272000,47.3981192,8.5458161,0,1.0,1.0,0.022608595,0.010908851,0.03265915,0.004224815,1.1257712,1.1261944,1.8161723e-05,4.2267316e-06,4.3432796e-05,3.1509862e-06,0,0,1
666832000,666674000,666680000,47.398119099999995,8.5458161,0,1.0,1.0,0.02825058,0.010481125,0.030688949,0.007020776,1.1262822,1.1267055,2.8344417e-05,3.9000065e-06,3.668976e-05,3.4857253e-06,0,0,1
667232000,667074000,667080000,47.3981192,8.5458161,0,1.0,1.0,0.011996788,0.01456875,0.02238132,0.010375431,1.1262283,1.126648,5.111678e-06,7.535574e-06,2.2655055e-05,5.285658e-06,0,0,1
