timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
657856000,-0.0063915937,0.0013315602,-0.0029294738,4000,0,-0.07661447,-0.06823458,-9.753978,4000,0,0,0,1
657860000,-0.0031957885,0.004793698,0.0018642044,4000,0,-0.04429273,-0.0897824,-9.798271,4000,0,0,0,1
657864000,0.0023968676,-0.00079893274,0.013582119,4000,0,0.016759414,-0.069431685,-9.815032,4000,0,0,0,1
657872000,-0.008522166,0.0069241566,0.00772317,4000,0,-0.05746084,0.13766676,-9.73722,4000,0,0,0,1
657876000,-0.026365303,0.0031957317,0.0021305808,4000,0,-0.043095633,0.08738854,-9.677362,4000,0,0,0,1
657880000,-0.030626344,-0.0053262534,0.010386407,4000,0,0.07422027,0.052672606,-9.554062,4000,0,0,0,1
657884000,-0.023702156,0.00026634536,0.010918918,4000,0,0.10534488,0.045490008,-9.554062,4000,0,0,0,1
657888000,-0.02077265,-0.0013316163,0.005060019,4000,0,0.12330139,-0.038307067,-9.622298,4000,0,0,0,1
657892000,-0.019441046,-0.018642142,0.0029295976,4000,0,0.08738836,-0.13886355,-9.627085,4000,0,0,0,1
657896000,-0.00745684,-0.024767395,0.0021306428,4000,0,-0.00957681,-0.14724326,-9.639055,4000,0,0,0,1
657900000,-0.0061252983,-0.012516852,0.004261039,4000,0,0.025139121,-0.0825998,-9.6917305,4000,0,0,0,1
657904000,-0.021837985,0.0013315784,0.014114662,4000,0,0.1125275,0.028730592,-9.710884,4000,0,0,0,1
657908000,-0.02476742,0.0066579627,0.02423473,4000,0,0.071826056,0.119710274,-9.722853,4000,0,0,0,1
657912000,-0.008255767,0.0034622713,0.027696868,4000,0,0.011971008,0.105345055,-9.782708,4000,0,0,0,1
657916000,0.003994783,-0.0018641193,0.020772658,4000,0,0.06943185,0.044292904,-9.816229,4000,0,0,0,1
657920000,0.0023968657,-0.004261062,0.014647383,4000,0,0.083797075,0.0083798785,-9.84017,4000,0,0,0,1
657924000,-0.002396872,-0.0010652947,0.022636864,4000,0,0.02633622,0.0035914758,-9.91439,4000,0,0,0,1
657932000,-0.00053270883,0.0114516,0.011185268,4000,0,0.04429273,0.027533494,-9.860521,4000,0,0,0,1
657936000,-0.0023969326,0.02263686,-0.00079894287,4000,0,0.015562311,-0.034715757,-9.67856,4000,0,0,0,1
657944000,-0.011984125,0.016511612,0.014913777,4000,0,-0.025139123,-0.035912856,-9.792285,4000,0,0,0,1
657948000,-0.020506373,0.014647317,0.0077232234,4000,0,-0.051475346,0.01197118,-9.795877,4000,0,0,0,1
657952000,-0.009853743,0.017310522,-0.00026638605,4000,0,-0.047884032,0.0035914737,-9.804257,4000,0,0,0,1
657956000,0.00079895207,0.005858957,0.0005326086,4000,0,0.0071826056,-0.01795634,-9.811439,4000,0,0,0,1
657960000,-0.0034620988,-0.004527377,0.005326328,4000,0,0.01316811,-0.028730249,-9.868902,4000,0,0,0,1
657964000,-0.0037284214,-0.0082558,0.0066579077,4000,0,0.02274492,-0.005985331,-9.928757,4000,0,0,0,1
657968000,-0.003462091,-0.01065265,0.0018642165,4000,0,0.09816227,0.05386972,-9.93474,4000,0,0,0,1
657972000,-0.008255806,-0.0007989523,0.0013315522,4000,0,0.082599975,0.063446514,-9.860521,4000,0,0,0,1
657976000,-0.0050600125,0.008788451,0.0077231415,4000,0,-0.015562313,0.0011972702,-9.75757,4000,0,0,0,1
657980000,-0.0021305245,0.006125278,0.0069242152,4000,0,-0.002394203,-0.03351866,-9.785105,4000,0,0,0,1
657984000,-0.0013315817,0.0021305275,0.0018642143,4000,0,0.10654198,0.0143653825,-9.864112,4000,0,0,0,1
657992000,0.0029294852,-0.006125281,0.022636866,4000,0,0.07302317,-0.026336052,-9.747993,4000,0,0,0,1
657996000,0.002663131,5.271799e-09,0.01491371,4000,0,0.053869545,-0.07661429,-9.773131,4000,0,0,0,1
658000000,0.005592596,0.0087884525,0.008788441,4000,0,0.07302317,-0.052672267,-9.777922,4000,0,0,0,1
658004000,0.0042610844,0.004527362,0.013582118,4000,0,0.04070143,-0.07781139,-9.73722,4000,0,0,0,1
658008000,-0.010918925,-0.003994807,0.011451604,4000,0,0.0,-0.0909795,-9.763554,4000,0,0,0,1
658012000,-0.023702169,0.0061252047,0.00665785,4000,0,0.020350715,0.01197118,-9.803061,4000,0,0,0,1
658016000,-0.019174784,0.018642163,0.009587273,4000,0,0.033518832,0.023942187,-9.821015,4000,0,0,0,1
658020000,-0.011451556,0.01704429,0.014913666,4000,0,0.028730419,-0.016759245,-9.813835,4000,0,0,0,1
658024000,-0.012783159,0.015180018,0.016245298,4000,0,0.062249243,0.04189871,-9.759963,4000,0,0,0,1
658032000,-0.03648529,-0.004261091,0.0039948826,4000,0,0.025139121,0.010774077,-9.703699,4000,0,0,0,1
658036000,-0.035153735,-0.01145147,0.014114844,4000,0,0.05626375,-0.034715757,-9.704897,4000,0,0,0,1
658040000,-0.02849581,-0.00798955,0.00585894,4000,0,0.084994175,0.0011972714,-9.781511,4000,0,0,0,1
658044000,-0.029827397,-0.0053263856,-0.0005326613,4000,0,0.04548984,0.007182776,-9.779118,4000,0,0,0,1
658048000,-0.01890846,-0.005326245,0.0074568717,4000,0,-0.01316811,-0.062249076,-9.737221,4000,0,0,0,1
658052000,-0.009054775,0.002929524,0.010918926,4000,0,-0.037110135,-0.0873882,-9.752781,4000,0,0,0,1
658056000,-0.0165116,0.001597861,0.007989494,4000,0,-0.010773908,-0.010773739,-9.7803135,4000,0,0,0,1
658064000,-0.025566343,-0.018642098,0.0146474335,4000,0,0.023942016,0.033519,-9.797075,4000,0,0,0,1
658068000,-0.02583269,-0.0109189795,0.012783108,4000,0,0.07302317,0.0395045,-9.783907,4000,0,0,0,1
658072000,-0.017843226,0.00399473,0.007456753,4000,0,0.13407533,0.020350888,-9.811439,4000,0,0,0,1
658076000,-0.007190535,0.00026630433,0.0010652725,4000,0,0.11013329,0.04549001,-9.835382,4000,0,0,0,1
658080000,-0.003994741,-0.0026631572,0.0023968515,4000,0,0.118513,0.037110306,-9.822214,4000,0,0,0,1
658084000,-0.014114765,0.001864216,0.010918946,4000,0,0.11013329,-0.05746067,-9.816229,4000,0,0,0,1
658088000,-0.027696852,-0.0058590057,0.010652689,4000,0,0.051475346,-0.0909795,-9.817424,4000,0,0,0,1
658092000,-0.024767337,-0.018642196,0.0021306525,4000,0,0.04548984,0.017956687,-9.793484,4000,0,0,0,1
658096000,-0.007989439,-0.021571653,-0.004793563,4000,0,0.06464346,0.13048418,-9.779117,4000,0,0,0,1
658100000,0.00159793,-0.015180044,-0.007989433,4000,0,0.055066645,0.120907374,-9.817424,4000,0,0,0,1
658108000,0.016511576,-0.012250578,-0.0010652367,4000,0,0.02873042,-0.020350542,-9.880873,4000,0,0,0,1
658112000,0.011717893,-0.0007989743,0.0039947852,4000,0,0.02873042,0.031124793,-9.870098,4000,0,0,0,1
658120000,0.008522107,0.008255809,0.0013315814,4000,0,0.03232173,0.033519,-9.862916,4000,0,0,0,1
658124000,0.00426106,0.010120007,0.0021305464,4000,0,0.083797075,0.013168281,-9.788694,4000,0,0,0,1
658128000,-0.0013315997,0.013049494,-0.0029294542,4000,0,0.011971008,-0.025138952,-9.725247,4000,0,0,0,1
658132000,-0.0077232043,0.012783178,-0.011451565,4000,0,-0.009576809,-0.06703748,-9.676167,4000,0,0,0,1
658140000,-0.027696861,0.014114784,0.0023968893,4000,0,0.021547817,-0.123301215,-9.791088,4000,0,0,0,1
658144000,-0.014114785,0.007989428,-0.004793698,4000,0,-0.027533323,-0.17956497,-9.810242,4000,0,0,0,1
658148000,-0.0034621162,-5.7030345e-09,-0.0023968357,4000,0,-0.019153617,-0.13886355,-9.817424,4000,0,0,0,1
658152000,0.0050600064,0.0007989487,0.0037284251,4000,0,0.051475346,-0.0909795,-9.837774,4000,0,0,0,1
658156000,0.015446329,0.0047937017,0.0047936947,4000,0,0.09816227,-0.0897824,-9.815031,4000,0,0,0,1
658160000,0.0077231824,-0.007723166,0.0021304768,4000,0,0.104147784,-0.06464328,-9.812637,4000,0,0,0,1
658164000,0.0037284384,-0.012250536,-0.0015979192,4000,0,0.1400608,-0.013167938,-9.824609,4000,0,0,0,1
658168000,0.005858979,0.0029294814,-0.0055926116,4000,0,0.116118796,0.050278414,-9.788694,4000,0,0,0,1
658172000,-0.0002663001,0.012783192,-0.007989459,4000,0,0.038307235,0.059855223,-9.72884,4000,0,0,0,1
658176000,0.0034621137,0.016777903,-0.009587398,4000,0,0.011971008,-0.01197084,-9.746797,4000,0,0,0,1
658180000,0.0061252485,0.015712647,-0.013049507,4000,0,0.008379708,-0.055066474,-9.854535,4000,0,0,0,1
658188000,-0.015180007,0.0058590183,-0.005858928,4000,0,0.07302317,-0.0873882,-9.837774,4000,0,0,0,1
658192000,-0.023169456,0.018908525,0.0061252215,4000,0,0.070628956,-0.0873882,-9.770737,4000,0,0,0,1
658196000,-0.022903154,0.024234824,0.013049447,4000,0,0.09097968,-0.055066474,-9.726444,4000,0,0,0,1
658200000,-0.01225053,0.013049502,0.008522117,4000,0,0.096965164,-0.021547649,-9.694122,4000,0,0,0,1
658204000,-0.0023968583,0.008255804,0.002396822,4000,0,0.03711013,-0.0119708385,-9.759963,4000,0,0,0,1
658208000,-0.0077231745,0.003994735,-0.0010652463,4000,0,0.0,0.0059856763,-9.799467,4000,0,0,0,1
658212000,-0.017843196,-0.009054766,-0.009321016,4000,0,0.025139121,0.06464362,-9.806652,4000,0,0,0,1
