timestamp,timestamp_sample,device_id,pressure,temperature,error_count
135108000,135108000,6620428,95605.58,11.832727,0
136092000,136092000,6620428,95606.125,11.832727,0
137100000,137100000,6620428,95604.0,11.832727,0
138108000,138108000,6620428,95605.7,11.832727,0
139092000,139092000,6620428,95606.26,11.832727,0
140100000,140100000,6620428,95608.31,11.832727,0
141108000,141108000,6620428,95607.46,11.832727,0
142092000,142092000,6620428,95606.81,11.832727,0
143100000,143100000,6620428,95607.88,11.832727,0
144108000,144108000,6620428,95605.76,11.832727,0
145092000,145092000,6620428,95605.63,11.832727,0
146100000,146100000,6620428,95607.92,11.832727,0
147108000,147108000,6620428,95607.69,11.832727,0
148092000,148092000,6620428,95607.234,11.832727,0
149100000,149100000,6620428,95606.625,11.832727,0
150108000,150108000,6620428,95607.58,11.832727,0
151092000,151092000,6620428,95606.266,11.832727,0
152100000,152100000,6620428,95608.05,11.832727,0
153108000,153108000,6620428,95604.0,11.832727,0
154092000,154092000,6620428,95606.32,11.832727,0
155100000,155100000,6620428,95606.21,11.832727,0
156108000,156108000,6620428,95606.875,11.832727,0
157088000,157088000,6620428,95605.02,11.832727,0
158100000,158100000,6620428,95605.05,11.832727,0
159108000,159108000,6620428,95607.7,11.832727,0
160092000,160092000,6620428,95605.414,11.832727,0
161100000,161100000,6620428,95606.81,11.832727,0
162108000,162108000,6620428,95606.37,11.832727,0
163092000,163092000,6620428,95604.19,11.832727,0
164100000,164100000,6620428,95606.42,11.832727,0
165108000,165108000,6620428,95607.125,11.832727,0
166092000,166092000,6620428,95604.92,11.832727,0
167100000,167100000,6620428,95608.625,11.832727,0
168108000,168108000,6620428,95605.914,11.832727,0
169092000,169092000,6620428,95605.81,11.832727,0
170100000,170100000,6620428,95605.055,11.832727,0
171108000,171108000,6620428,95606.53,11.832727,0
172092000,172092000,6620428,95606.16,11.832727,0
173100000,173100000,6620428,95607.41,11.832727,0
174108000,174108000,6620428,95606.2,11.832727,0
175092000,175092000,6620428,95606.39,11.832727,0
176100000,176100000,6620428,95605.02,11.832727,0
177108000,177108000,6620428,95607.1,11.832727,0
178092000,178092000,6620428,95605.79,11.832727,0
179100000,179100000,6620428,95607.32,11.832727,0
180104000,180104000,6620428,95606.0,11.832727,0
