timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
30832000,30674000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
31232000,31074000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
31632000,31474000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
32032000,31874000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
32432000,32274000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
32832000,32674000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
33232000,33074000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
33632000,33474000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
34032000,33874000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
34432000,34274000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
34832000,34674000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
35232000,35074000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
35632000,35474000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
36032000,35878000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
36432000,36274000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
36832000,36674000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
37232000,37074000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
37632000,37474000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
38032000,37874000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
38432000,38274000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
38832000,38674000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
39232000,39074000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
39632000,39474000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
40032000,39874000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
40432000,40274000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
40832000,40674000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
41224000,41070000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
41632000,41474000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
42032000,41874000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
42424000,42270000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
42832000,42674000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
43232000,43074000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
